link,price,code,Fabric Type,Neckline,Collection,Trouser,Sleeves,Embellishment,Color,Size,Shirt,Dupatta
https://www.junaidjamshed.com/white-dyed-kurti-jjlk-s-jpws-23-3006.html,pkr 4 510.00,JJLK-S-JPWS-23-3006,dyed,round  neck  striped  plain  plaid  solid  unknown,embroidered  light  khaddar  shirt  midsummer  collection  lady  kurti,,kurta  sleeve  long  short  black  striped  white,buttoning  neckline,white  black  blue  gray  purple,,straight  floral  paisley  plaid  solid  striped  panel  short  long  medium  yes  dress  cotton  blue  button  long,
https://www.junaidjamshed.com/grey-jacquard-3pc-stitched-jlawn-s-23-227.html,pkr 10 530.00,JLAWN-S-23-227,jacquard,round  neck  placket  striped  white  solid  plain  dress,embroidered  digital  jacquard  shirt  dupatta  trouser  festive  collection  piece  stitched,azar  solid  plain  striped  stripe  dress  short  long  straight  skirt  long,golden  jacquard  embroidered  straight  sleeve  short  long  striped  white  black,tassel  dupatta  pearl  placket,grey  white  gray  blue  black  pink  brown  natural  blue,,golden  jacquard  embroidered  straight  front  striped  solid  plain  stripe  long  short  medium  tall  yes  dress  cotton  blue  white  length,solid  striped  stripe  plain  stripe
https://www.junaidjamshed.com/black-lawn-unstitched-3pc-jlawn-s-24-552.html,pkr 5 530.00,JLAWN-S-24-552,lawn  lawn,striped  plain  solid  white  unknown,festive  collection  lawn  shirt  dupatta  unstitched  piece,meter  solid  checkered  striped  plain  plaid  dress  short  long  skirt  striped,plaid  solid  plain  floral  checkered,,black  red  pink  white  gray  blue  purple  white,3 piece,floral  plaid  solid  checkered  striped dress  cotton  unknown  blue  sure,floral  polka  dot  checkered  flower
https://www.junaidjamshed.com/black-unstitched-3-piece-jjls-s-jpus-23-519.html,pkr 13 270.00,JJLS-S-JPUS-23-519,cambric,striped  white  dress  unknown  plain,special  edition  unstitched  piece,meter  floral  solid  checkered  black  paisley  dress  long  jean  short  striped,floral  plaid  striped  solid  checkered,,black  blue  white  green  striped  brown  gold  yellow  white,3 piece,floral  striped  paisley  checkered  solid dress  blue  cotton  white,floral  polka  dot  flower  checkered
https://www.junaidjamshed.com/black-grey-jacquard-unstitched-3pc-jlawn-s-24-447.html,pkr 7 180.00,JLAWN-S-24-447,jacquard  jacquard,striped  white  plain  solid  dress,spring  summer  collection  jacquard  shirt  dupatta  unstitched  piece,meter  solid  polka  dot  striped  plain  dress  long  skirt  short,striped  plain  solid  floral  plaid,,blue  white  black  gray  brown  purple,3 piece,solid  floral  striped  plain  polka  dot dress  blue  cotton  white  unknown,polka  dot  flower  floral  flower
https://www.junaidjamshed.com/green-3pc-stitched-jjpw-w-jw-23-1749.html,pkr 10 250.00,JJPW-W-JW-23-1749,jacquard,maghzi  round  neck  striped  dress  plain  white  unknown,embroidered  digital  printed  jacquard  shirt  palachi  dupatta  cambric  trouser  winter  collection  piece  stitched,straight  pant  solid  floral  striped  plain  plaid  short  long  full  dress  wood,kurta  sleeve  short  long  striped  black  white,embellishment  sleeve,green  teal  blue  white  gray  black  mint  white,,straight  floral  striped  solid  paisley  plain  long  short  medium  tall  yes  cotton  old  unknown  blue  long,floral  paisley  flower  plaid
https://www.junaidjamshed.com/multicolor-lawn-kurti-jjlk-s-jss-24-447.html,pkr 2 560.00,JJLK-S-JSS-24-447,lawn,boat  neck  striped  solid  plain  white  unknown,festive  collection  lady  kurti,,straight  seeves  short  long  striped  plaid  white,,multicolor  blue  floral  red  pink  flower,,printed  drop  shoulder  round  daman  floral  solid  flower  plaid  checkered  kaftan  cut  short  long  medium  yes  blue  cotton  dress  unknown  tie  dye  mid  length,
https://www.junaidjamshed.com/black-unstitched-3pc-jjls-w-jw-23-1713.html,pkr 6 460.00,JJLS-W-JW-23-1713,karandi  jacquard  jacquard,striped  gray  plain  white  long,winter  collection  jacquard  shirt  dupatta  unstitched  piece,meter  plain  solid  striped  plaid  gray  dress  short  long  wood  slack,solid  plain  striped  plaid  stripe,,black  blue  gray  white  green  tan  white,3 piece,solid  plain  striped  plaid  stripe cotton  blue  dress  unknown  know,solid  plain  blue  plaid  stripe
https://www.junaidjamshed.com/multicolor-lawn-unstitched-3pc-jlawn-s-24-367-emboss-5.html,pkr 6 150.00,JLAWN-S-24-367 EMBOSS -5,chambray,striped  solid  white  dress  regular,festive  collection  unstitched  piece,meter  solid  striped  checkered  plain  polka  dot  dress  long  short  slack  skirt,solid  plaid  striped  plain  checkered,,multicolor  blue  green  teal  white  red  black  mint  white,3 piece,striped  plaid  solid  checkered  stripe dress  cotton  blue  unknown,polka  dot  solid  paisley  checkered
https://www.junaidjamshed.com/off-white-lawn-unstitched-3pc-jlawn-s-24-058.html,pkr 5 640.00,JLAWN-S-24-058,lawn,plaid  striped  white  plain  unknown,spring  summer  collection  unstitched  piece,meter  checkered  plaid  solid  plain  striped  long  short  jean  neither  yes,plaid  checkered  striped  solid  plain,,white  plaid  brown  shirt  red  gray  blue  black  orange  white,3 piece,plaid  checkered  striped  floral  solid cotton  tank  top  blue  hot,paisley  floral  checkered  indian  polka  dot
https://www.junaidjamshed.com/brown-unstitched-3pc-jjls-w-jfu-23-714.html,pkr 12 820.00,JJLS-W-JFU-23-714,organza  chiffon,solid  striped  plain  white  dress,winter  collection  organza  shirt  chiffon  dupatta  unstitched  piece,solid  plain  striped  floral  dress  short  neither  wood,solid  plain  floral  striped  plaid,,brown  red  orange  white  pink  shirt  black  peach,3 piece,solid  floral  striped  plain  stripe dress  tank  top  cotton  unknown  sure,solid  floral  flower  plain  paisley
https://www.junaidjamshed.com/black-raw-silk-3pc-stitched-jjpw-w-jw-22-1782.html,pkr 19 490.00,JJPW-W-JW-22-1782,silk  raw,striped  white  plain  solid  unknown,winter  collection  piece  stitched  basic  dyed  foil  raw  silk  shirt  trouser  yarn  velvet  jacquard  dupatta,solid  plain  striped  checkered  floral  short  long  cold  straight  dress  slack  striped,short  long  black  white  striped,,black  white  red  blue  plaid  gray  brown  purple  pink,,solid  floral  plaid  plain  striped long  short  medium  yes  tall  dress  cotton  blue  unknown  button,floral  flower  paisley  solid  flower
https://www.junaidjamshed.com/black-lawn-unstitched-3pc-jlawn-s-24-149-grand-03.html,pkr 10 770.00,JLAWN-S-24-149 GRAND-03,doria,striped  dress  white  unknown  solid,festive  collection  unstitched  piece,meter  checkered  floral  paisley  plaid  striped  dress  yes  black  wood  fancy,floral  plaid  solid  striped  plain,,black  white  brown  gray  blue  white,3 piece,floral  checkered  plaid  paisley  striped dress  cotton  unknown  know  sure,floral  polka  dot  checkered  flower
https://www.junaidjamshed.com/orange-dyed-unstitched-3pc-jlawn-s-23-317.html,pkr 8 110.00,JLAWN-S-23-317,jacquard  jacquard,striped  white  plain  solid  long,winter  collection  jacquard  shirt  dupatta  unstitched  piece,embroidery  solid  striped  plain  stripe  dress  long  short  red,embroidery  solid  striped  plain  stripe,,orange  white  blue  red  gray  black  yes  white,3 piece,solid  striped  stripe  plain  stripe dress  blue  cotton  unknown,striped  solid  stripe  plain  orange
https://www.junaidjamshed.com/beige-lawn-stitched-3pc-jlawn-s-24-383.html,pkr 14 050.00,JLAWN-S-24-383,lawn,boat  neckline  keyhole  striped  white  plain  solid  unknown,festive  collection  piece  stitched  casual,dyed  azaar  plaid  solid  plain  checkered  striped  short  long  straight  dress  skirt  striped,printed  sleeve  short  long  striped  white  plaid,hand  embellishment  shirt  dupatta,beige  white  peach  orange  pink  blue  brown  red  tan  yellow  red,,printed  front  floral  polka  dot  solid  back  classic  kurta  panel  short  long  medium  yes  dress  cotton  white  blue  unknown  long,plaid  polka  dot  checkered  dot
https://www.junaidjamshed.com/green-cambric-3pc-stitched-jlawn-s-24-035.html,pkr 6 660.00,JLAWN-S-24-035,cambric,round  neck  slit  striped  solid  plain  white  unknown,printed  lawn  shirt  dupatta  trouser  spring  summer  collection  piece  stitched,straight  pant  floral  striped  plain  solid  stripe  short  long  dress  neither,printed  bell  sleeve  stitched  detail  short  long  striped  white  black,dori  tassel  front  slit  dupatta,green  blue  floral  gray  red  white  black  brown  pink  purple,,printed  straight  front  floral  solid  flower  paisley  plain  short  long  medium  yes  cotton  dress  striped  blue  unknown  mid  length,floral  flower  paisley  polka  dot
https://www.junaidjamshed.com/pink-khaddi-kurti-jjlk-w-jws-23-3013.html,pkr 4 100.00,JJLK-W-JWS-23-3013,jacquard,boat  neck  solid  striped  plain  white  red,embroidered  shirt  winter  collection  lady  kurti  casual,,straight  short  long  red  solid  black,,pink  red  white  blue,,straight  solid  plain  striped  stripe  plaid  long  short  medium  yes  dress  cotton  red  blue  unknown,
https://www.junaidjamshed.com/green-cotton-kurti-jjlk-s-jpwk-23-932.html,pkr 6 320.00,JJLK-S-JPWK-23-932,paper  cotton,white  solid  plain  striped  unknown,special  edition  lady  kurti  semi  kurti,,long  short  white  pink  blue,,green  white  blue  gray  teal,,floral  solid  plain  flower  flower short  long  medium  yes  dress  blue  cotton  unknown  white,
https://www.junaidjamshed.com/black-lawn-unstitched-2pc-jlawn-s-jds-24-1010.html,pkr 4 100.00,JLAWN-S-JDS-24-1010,lawn  lawn,,spring  summer  collection  lawn  shirt  dupatta  unstitched  piece,,short  long  black  striped  white,,black  white  blue  gray  purple,2 piece,checkered  polka  dot  solid  plaid cotton  blue  striped  white  unknown,polka  dot  checkered  star  animal
https://www.junaidjamshed.com/red-khaddi-kurti-jjlk-w-jws-23-3016.html,pkr 4 100.00,JJLK-W-JWS-23-3016,khaddi  plain  jacquard,sherwani  collar  striped  white  solid  plain  long,embroidered  shirt  winter  collection  lady  kurti  casual,,straight  long  short  red  striped  solid,,red  white  orange  blue,,straight  solid  striped  floral  plain  plaid  short  long  medium  tall  dress  cotton  button  blue,
https://www.junaidjamshed.com/blue-textured-kurti-jjlk-s-jss-24-419.html,pkr 4 410.00,JJLK-S-JSS-24-419,textured,embroidered  round  neck  solid  striped  plain  long  unknown,embroidered  shirt  festive  collection  lady  kurti,,textured  fabric  straight  sleeve  embroidery  lace  long  solid  striped  blue  red,,blue  red  teal,,textured  fabric  straight  front  solid  floral  paisley  flower  short  long  medium  yes  blue  cotton  unknown  striped  red  length,
https://www.junaidjamshed.com/black-cambric-unstitched-3pc-jlawn-s-24-375-khilat-05.html,pkr 5 840.00,JLAWN-S-24-375 KHILAT-05,cambric  lawn,striped  solid  white  plain  black,festive  collection  lawn  shirt  trouser  unstitched  piece,meter  solid  floral  checkered  striped  paisley  dress  long  short  slack,solid  striped  plaid  plain  floral,,black  white  shirt  green  striped  blue  gray  purple  white,3 piece,striped  solid  stripe  checkered  paisley dress  blue  cotton  unknown,polka  dot  flower  floral  dot
https://www.junaidjamshed.com/green-jacquard-3pc-stitched-jlawn-s-24-098.html,pkr 8 100.00,JLAWN-S-24-098,jacquard,round  neck  slit  striped  solid  plain  white  dress,jacquard  shirt  dupatta  trouser  spring  summer  collection  piece  stitched,straight  pant  solid  striped  plain  plaid  stripe  long  short  dress  skirt  slack  short,jacquard  straight  sleeve  long  short  striped  black  white,tassel  front  slit,green  blue  striped  black  plaid  white  gray  teal  red  black,,jacquard  straight  front  stripe  striped  plaid  solid  floral  long  short  medium  yes  dress  cotton  blue  unknown  length,stripe  plaid  polka  dot  flower  dot
https://www.junaidjamshed.com/blue-lawn-kurti-jjlk-s-jss-24-359.html,pkr 3 070.00,JJLK-S-JSS-24-359,lawn,round  neckline  front  placket  striped  solid  white  plain  blue,printed  lawn  shirt  spring  summer  collection  lady  kurti,,sleeve  long  short  white  blue  striped,,blue  white  gray,,floral  solid  plain  flower  line  cut  short  long  medium  yes  tall  cotton  dress  blue  button  unknown  long,
https://www.junaidjamshed.com/black-lawn-kurti-jjlk-s-jss-24-452-fb.html,pkr 2 560.00,JJLK-S-JSS-24-452,lawn,boat  neck  placket  striped  stripe  long  vertical,monochrome  collection  lady  kurti,printed  straight  trouser,printed  sleeve  striped  long  short  plaid  gray,,black  gray  striped  blue  white,,printed  front  striped  stripe  zebra  solid  back  loose  fit  box  kurta  long  short  medium  tall  cotton  polo  blue  length,
https://www.junaidjamshed.com/black-lawn-3pc-stitched-jlawn-s-24-064.html,pkr 8 610.00,JLAWN-S-24-064,lawn,boat  neck  slit  striped  white  long  plain  solid,spring  summer  collection  piece  stitched,dyed  azaar  trouser  solid  striped  checkered  plain  polka  dot  short  long  black  dress  yes,printed  sleeve  embroidery  long  short  striped  black  white,embellishment  neckline,black  white  blue  striped  gray  brown  brown,,printed  front  embroidery  striped  floral  paisley  solid  plain  back  regular  shirt  short  long  medium  yes  dress  cotton  blue  unknown  length,polka  dot  checkered  stripe
https://www.junaidjamshed.com/lime-green-lawn-kurti-jjlk-s-jss-23-341.html,pkr 4 950.00,JJLK-S-JSS-23-341,lawn,round  neck  front  placket  striped  solid  long  plain  yellow,dyed  embroidered  lawn  shirt  spring  summer  collection  lady  kurti,,loose  long  short  striped  open  black,buttoning  neckline  fringe  sleeve,lime  green  yellow  white  blue  striped,,solid  plain  striped  stripe  straight  long  short  medium  dress  cotton  blue  unknown  mid,
https://www.junaidjamshed.com/black-lawn-kurti-jjlk-s-jss-24-382.html,pkr 5 120.00,JJLK-S-JSS-24-382,printed  lawn,round  neck  slit  striped  dress  unknown  white  plaid,festive  collection  lady  kurti,,printed  straight  sleeve  long  short  striped  black  plaid,tassles  front  slit,black  yellow  blue  plaid  floral,,printed  shirt  floral  plaid  paisley  striped  solid  long  short  medium  tall  cotton  dress  blue  unknown  length,
https://www.junaidjamshed.com/black-raw-silk-stitched-3pc-jjpw-s-jps-24-3903.html,pkr 17 440.00,JJPW-S-JPS-24-3903,silk  raw,boat  neck  striped  white  solid  unknown  plain,festive  collection  piece  stitched  formal,dhaka  pant  checkered  polka  dot  striped  solid  short  long  jean  dress  black  long,embroidered  full  sleeve  short  long  black  white  striped,,black  white  blue  gray  brown  white,,embr  striped  solid  checkered  stripe  plain  straight  shirt  short  long  medium  yes  dress  blue  cotton  unknown  long,polka  dot  flower  floral  checkered
https://www.junaidjamshed.com/black-khaddi-kurti-jjlk-s-jss-24-458.html,pkr 5 640.00,JJLK-S-JSS-24-458,khaddi  woven  embroidery  hand,sherwani  collar  plaid  striped  solid  plain  unknown,embroidered  handwoven  shirt  monsoon  collection  lady  kurti  semi  formal,,straight  long  plaid  short  black  striped,thread  work  sleeve,black  blue  yellow  plaid  white,,straight  plaid  checkered  solid  striped  plain  short  long  medium  tall  inch  cotton  dress  blue  button,
https://www.junaidjamshed.com/sky-blue-raw-silk-3pc-stitched-jjpw-w-jw-22-1788.html,pkr 27 390.00,JJPW-W-JW-22-1788,silk  raw,round  neck  key  hole  striped  plain  white  dress  solid,winter  collection  piece  stitched  basic  dyed  stone  raw  silk  shirt  trouser  impure  chiffon  dupatta,solid  floral  plain  paisley  striped  short  long  straight  dress  skirt  plain,straight  sleeve  short  long  gray  plain  black,dori  tassel  front  slit,sky  blue  gray  brown  black  tan  white  gold  black,,straight  shirt  solid  floral  paisley  plain  striped  long  short  medium  yes  dress  blue  cotton  unknown  tie  dye  length,solid  floral  paisley  plain  stripe
https://www.junaidjamshed.com/white-lawn-unstitched-3pc-jlawn-s-24-591.html,pkr 4 920.00,JLAWN-S-24-591,lawn  chiffon,striped  checkered  plaid  plain  unknown,festive  collection  lawn  shirt  chiffon  dupatta  unstitched  piece,striped  checkered  solid  plain  stripe  dress  long  wood  jean,striped  plain  checkered  plaid  solid,,white  gray  black  purple  blue  pink,3 piece,checkered  striped  stripe  paisley  plaid cotton  dress  unknown  sweater,polka  dot  checkered  paisley  dot
https://www.junaidjamshed.com/maroon-cambric-3pc-stitched-jjpw-w-jw-22-1764.html,pkr 13 170.00,JJPW-W-JW-22-1764,cambric,small  round  neckline  placket  button  striped  solid  white  plain  unknown,winter  collection  piece  stitched  basic  glitter  paste  print  cambric  shirt  dyed  trouser  dupatta,striped  solid  floral  plain  paisley  short  long  straight  dress  slack,full  sleeve  short  long  striped  red  black,button  lace  trimming,maroon  red  orange  white  gray  black  blue  brown  yes  white,,straight  solid  polka  dot  striped  checkered  kameez  pant  long  short  medium  tall  yes  dress  cotton  unknown  blue  length,polka  dot  paisley  floral  flower
https://www.junaidjamshed.com/yellow-lawn-unstitched-3pc-jlawn-s-24-328-baharain-b-6.html,pkr 3 380.00,JLAWN-S-24-328 BAHARAIN B-6,lawn  lawn,striped  white  unknown  plain  solid,festive  collection  lawn  shirt  dupatta  unstitched  piece,meter  polka  dot  striped  solid  dress  long  neither  short  striped,striped  polka  dot  stripe  checkered,,yellow  white  orange  blue  tan  gold  white,3 piece,striped  polka  dot  stripe  checkered dress  cotton  blue  unknown,polka  dot  floral  flower  paisley
https://www.junaidjamshed.com/peach-raw-silk-3pc-stitched-jjpw-w-jw-22-1783.html,pkr 17 910.00,JJPW-W-JW-22-1783,silk  raw,boat  neck  striped  solid  plain  long  unknown,winter  collection  piece  stitched  basic  glitter  foil  raw  silk  shirt  dyed  trouser  velvet  dupatta,solid  plain  floral  print  paisley  short  long  straight  dress  striped  solid,full  sleeve  long  short  cold  open  white,tassel  lace,peach  orange  blue  white  gray  black  yellow  brown  peach,,straight  solid  floral  paisley  striped  plain  shirt  pant  velvet  shawl  long  short  medium  tall  dress  blue  cotton  tie  dye  unknown  long,paisley  solid  floral  flower  checkered
https://www.junaidjamshed.com/green-paper-cotton-stitched-3pc-jjpw-s-jps-24-3934.html,pkr 14 360.00,JJPW-S-JPS-24-3934,paper  cotton,round  neck  slit  striped  solid  white  plain  gray,festive  collection  piece  stitched  semi  formal,straight  pant  solid  plain  floral  striped  plaid  short  long  full  dress  thick  jean,schiffli  embroidered  border  short  long  white  black  plain,,green  purple  blue  teal  gray  black  white  mint  teal,,schiffli  embroidered  floral  striped  solid  plain  stripe  straight  shirt  side  panel  short  long  medium  yes  tall  blue  unknown  dress  cotton  sure  long,floral  flower  stripe  striped
https://www.junaidjamshed.com/blue-lawn-unstitched-3pc-jlawn-s-23-598.html,pkr 3 380.00,JLAWN-S-23-598,lawn  lawn,striped  white  plain  unknown  dress,limited  edition  lawn  shirt  dupatta  unstitched  piece,meter  solid  floral  plain  flower  dress  short  long  skirt  neither,solid  plain  floral  plaid  striped,,blue  white  black  gray  yellow  tan  gold  white,3 piece,solid  floral  plain  paisley  flower dress  blue  cotton  unknown  button,floral  flower  solid  blue  flower
https://www.junaidjamshed.com/multicolor-cambric-kurti-jjlk-s-jss-24-406.html,pkr 3 480.00,JJLK-S-JSS-24-406,cambric,band  collar  floral  plain  solid  striped  white,festive  collection  lady  kurti,,printed  sleeve  floral  long  short  plaid  white,embellishment  neckline,multicolor  pink  floral  white  flower,,printed  front  floral  flower  solid  plain  back  regular  shirt  long  short  medium  yes  cotton  dress  blue  white  length,
https://www.junaidjamshed.com/yellow-dyed-stitched-2pc-jlawn-s-jds-24-1103.html,pkr 7 690.00,JLAWN-S-JDS-24-1103,dyed  lawn,round  embroidered  placket  striped  solid  white  plain  long,embroidered  lawn  shirt  dobby  dupatta  festive  collection  piece  stitched,solid  plain  striped  stripe  checkered  short  long  pant  dress  jean,straight  long  short  striped  black  solid,lace  tassel,yellow  blue  orange  white  gray  black  brown,,straight  embroidered  solid  plain  striped  stripe  floral  short  long  medium  yes  blue  dress  tie  dye  cotton  unknown  length,
https://www.junaidjamshed.com/pink-organza-unstitched-3pc-jjls-s-jfu-24-701.html,pkr 10 250.00,JJLS-S-JFU-24-701,organza  chiffon,pink  plain  solid  white  striped,festive  collection  organza  shirt  chiffon  dupatta  unstitched  piece,meter  organza  fabric  embroidered  shirt  lining  plain  crap  raw  silk  trouser  solid  floral  paisley  flower  dress  short  long  striped,solid  floral  plain  pink  flower,,pink  white  red  blue  gray  brown  black  purple  rose  yes,3 piece,floral  solid  plain  flower  paisley dress  blue  cotton  unknown  white,solid  floral  flower  plain  paisley
https://www.junaidjamshed.com/blue-unstitched-3pc-jjls-w-jfu-23-711.html,pkr 12 310.00,JJLS-W-JFU-23-711,organza  chiffon,striped  blue  dress  unknown  white,winter  collection  organza  shirt  chiffon  dupatta  unstitched  piece,solid  striped  plain  checkered  blue  dress  long  short  jean  blue,solid  striped  plain  stripe  plaid,,blue  white  black  gray  green  brown  red,3 piece,solid  striped  floral  paisley  stripe blue  dress  cotton  unknown  button,polka  dot  paisley  floral  solid  dot
https://www.junaidjamshed.com/green-impure-silk-3pc-stitched-jlawn-s-24-086.html,pkr 15 390.00,JLAWN-S-24-086,silk  impure,round  neck  center  slit  striped  unknown  dress  plain  solid,embroidered  digital  printed  silk  shirt  trouser  chiffon  dupatta  spring  summer  collection  piece  stitched,straight  solid  floral  plain  striped  paisley  short  long  full  dress  wood  jean,loose  cut  plaid  long  short  striped  blue,buttoning  neckline  handwork,green  blue  teal  floral  pink  black  red  mint  pink,,floral  plaid  solid  paisley  striped  line  long  short  medium  yes  dress  blue  cotton  unknown  tie  dye  long,floral  paisley  solid  flower  flower
https://www.junaidjamshed.com/brown-kurti-jjlk-w-jws-23-3026.html,pkr 5 740.00,JJLK-W-JWS-23-3026,jacquard,magzi  striped  white  solid  dress  plain,dyed  shirt  winter  collection  lady  kurti  casual,,straight  long  short  striped  black  white,buttoning,brown  orange  yellow  blue  white,,straight  solid  plain  striped  floral  stripe  short  long  medium  yes  cotton  dress  blue  unknown  know,
https://www.junaidjamshed.com/off-white-lawn-3pc-stitched-jlawn-s-24-055.html,pkr 8 200.00,JLAWN-S-24-055,tar  lawn  zari,boat  neckline  keyhole  striped  plain  white  solid  plaid,spring  summer  collection  piece  stitched  semi  formal,dyed  straight  trouser  solid  striped  floral  plain  plaid  short  long  skirt  dress  plain,printed  sleeve  short  long  striped  plaid  white,hand  embellishment  neckline  dupatta,white  red  pink  blue  gray  black  brown  white,,printed  front  checkered  floral  plaid  striped  stripe  back  regular  kameez  long  short  medium  yes  tie  dye  cotton  blue  dress  long,floral  polka  dot  flower  checkered
https://www.junaidjamshed.com/grey-lawn-unstitched-2pc-jlawn-s-jds-24-1024.html,pkr 3 380.00,JLAWN-S-JDS-24-1024,lawn  jacquard,,spring  summer  collection  lawn  shirt  jacquard  dupatta  unstitched  piece,,plaid  short  long  striped  white,,grey  floral  plaid  brown  gray  white  pink  red  blue  brown,2 piece,floral  plaid  checkered  paisley  flower cotton  dress  blue  striped  unknown,floral  polka  dot  paisley  flower
https://www.junaidjamshed.com/beige-organza-stitched-3pc-jjpw-s-jps-24-3910.html,pkr 14 360.00,JJPW-S-JPS-24-3910,formal  neckline  embellishment  style  cut  back  boat  embroidered  shirt  front  organza  sleeve  plain  trouser  button  straight  type  loop  fabric,striped  white  dress  plain  solid,festive  collection  piece  stitched,solid  floral  plain  paisley  flower  short  long  full  dress  neither  full,long  short  white  striped  black,,beige  white  pink  brown  tan  blue  black  peach  red,,floral  plaid  solid  checkered  striped long  short  medium  tall  dress  cotton  blue  white  unknown,floral  flower  paisley  solid
